Trial	Angle	Stimulus	Response	RTmsec	Accuracy	RTsec
1	140	Same--	Same--	4422	1	4.42
2	60	Same--	Same--	1750	1	1.75
3	180	Mirror	Mirror	1437	1	1.44
4	100	Mirror	Same--	1735	0	1.74
5	160	Mirror	Mirror	1937	1	1.94
6	180	Mirror	Mirror	1422	1	1.42
7	180	Mirror	Mirror	1937	1	1.94
8	0	Same--	Same--	1235	1	1.24
9	40	Mirror	Mirror	3297	1	3.30
10	140	Same--	Same--	1984	1	1.98
11	60	Mirror	Mirror	1844	1	1.84
12	160	Same--	Same--	3453	1	3.45
13	40	Mirror	Mirror	3000	1	3.00
14	180	Mirror	Mirror	4437	1	4.44
15	140	Mirror	Mirror	2922	1	2.92
16	120	Mirror	Mirror	2641	1	2.64
17	180	Same--	Mirror	1937	0	1.94
18	100	Mirror	Mirror	4204	1	4.20
19	60	Mirror	Mirror	3828	1	3.83
20	40	Mirror	Mirror	2140	1	2.14
21	60	Mirror	Mirror	3469	1	3.47
22	60	Mirror	Mirror	2422	1	2.42
23	0	Same--	Same--	2047	1	2.05
24	120	Same--	Same--	1422	1	1.42
25	40	Same--	Same--	1937	1	1.94
26	60	Mirror	Mirror	2235	1	2.23
27	0	Mirror	Mirror	2140	1	2.14
28	160	Mirror	Mirror	1328	1	1.33
29	180	Mirror	Mirror	2453	1	2.45
30	160	Mirror	Mirror	1422	1	1.42
31	180	Mirror	Mirror	1532	1	1.53
32	180	Mirror	Mirror	1640	1	1.64
33	120	Same--	Same--	1828	1	1.83
34	180	Mirror	Mirror	3453	1	3.45
35	40	Mirror	Mirror	1938	1	1.94
36	20	Mirror	Mirror	1937	1	1.94
37	0	Same--	Same--	1532	1	1.53
38	140	Mirror	Mirror	1640	1	1.64
39	0	Same--	Same--	2125	1	2.12
40	140	Mirror	Mirror	2547	1	2.55
41	140	Same--	Same--	2750	1	2.75
42	120	Mirror	Mirror	1438	1	1.44
43	160	Same--	Same--	1625	1	1.62
44	60	Same--	Same--	1531	1	1.53
45	160	Same--	Same--	2437	1	2.44
46	60	Mirror	Mirror	1844	1	1.84
47	140	Same--	Same--	1938	1	1.94
48	140	Mirror	Mirror	2140	1	2.14
49	20	Mirror	Mirror	1828	1	1.83
50	20	Mirror	Mirror	1235	1	1.24
